denominacion;sigla;domicilio;telefono
OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD AZUCARERA TUCUMANA                                                                                                                                             ;                  ;CONGRESO DE TUCUMAN  341                          ;
OBRA SOCIAL DE LA INDUSTRIA DEL TRANSPORTE  AUTOMOTOR DE CORDOBA                                                                                                                                        ;OSITAC            ;PARANA 327                                        ;aoita@ositac.org.ar
OBRA SOCIAL DEL PERSONAL DE PANADERIAS                                                                                                                                                                  ;OSPEP             ;BOEDO 168                                         ;info@ospep.org.ar
OBRA SOCIAL DE TRABAJADORES DE LA INDUSTRIA DEL GAS                                                                                                                                                     ;OSTIG             ;BOEDO 90                                          ;ostig@impsat 1.com.ar.
OBRA SOCIAL DE TRABAJADORES DEL PETROLEO Y GAS PRIVADO DEL CHUBUT                                                                                                                                       ;                  ;AVDA ALSINA 728 PISO 3                            ;
OBRA SOCIAL DE CONDUCTORES CAMIONEROS Y PERSONAL DEL TRANSPORTE AUTOMOTOR DE CARGAS                                                                                                                     ;                  ;AV. CASEROS 921/23                                ;aliciak@spdps.com.ar
OBRA SOCIAL DEL PERSONAL DE INDUSTRIAS QUIMICAS Y PETROQUIMICAS                                                                                                                                         ;OSPIQYP           ;MEXICO 1474                                       ;
OBRA SOCIAL DE AGENTES DE PROPAGANDA MEDICA DE ENTRE RIOS                                                                                                                                               ;OSAPMER           ;CATAMARCA 451                                     ;apmentrario@infovia.com.ar
OBRA SOCIAL CONDUCTORES DE TAXIS DE CORDOBA                                                                                                                                                             ;OSTC              ;SAN LUIS 373  - B. GUEMES                         ;osctc.cordoba@gmail.com
OBRA SOCIAL DEL PERSONAL DE LA CERAMICA, SANITARIOS, PORCELANA DE MESA Y AFINES                                                                                                                         ;OSPCSPMYA         ;AV. HIIPOLITO IRIGOYEN 1255                       ;ospecesa@speedy.com.ar
OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA CINEMATOGRAFICA                                                                                                                                                ;OSPIC             ;JUNCAL 2029                                       ;ospic@sicacine.org.ar
OBRA SOCIAL DE LOS  SUPERVISORES DE LA INDUSTRIA METALMECANICA DE LA REPUBLICA ARGENTINA                                                                                                                ;OSSIMRA           ;AZCUENAGA 1234                                    ;asinra@arnet.com.ar
OBRA SOCIAL DEL PERSONAL CINEMATOGRAFICO DE MAR DEL PLATA                                                                                                                                               ;OSPERCIN          ;NEUQUEN 2655                                      ;
OBRA SOCIAL DE JEFES Y OFICIALES NAVALES DE RADIOCOMUNICACIONES                                                                                                                                         ;OSJONR            ;24 DE NOVIEMBRE 643/5                             ;
OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LA EMPRESA SUBTERRANEOS DE BUENOS AIRES                                                                                                                        ;OSPDESBA          ;AVDA CALLAO 322 PISO 8 DTO A                      ;ospdesba@speedy.com.ar
OBRA SOCIAL DE LA INDUSTRIA DE PASTAS ALIMENTICIAS                                                                                                                                                      ;OSIPA             ;AVDA.. BELGRANO 4280                              ;stipa@arnet.com.ar
OBRA SOCIAL DE MUSICOS                                                                                                                                                                                  ;OSDEM             ;AVDA.  BELGRANO 3655                              ;institucional@osdem.org.ar
OBRA SOCIAL DE RECIBIDORES DE GRANOS Y ANEXOS                                                                                                                                                           ;OSRGA             ;AVDA BELGRANO 510 PISO 5                          ;administracion@osrga.org.ar
OBRA SOCIAL DE PANADEROS, PASTELEROS Y FACTUREROS DE ENTRE RIOS                                                                                                                                         ;OSSPYFER          ;VELEZ SARSFIELD 447/49                            ;
OBRA SOCIAL DE LOS PROFESIONALES UNIVERSITARIOS DEL AGUA Y LA ENERGIA ELECTRICA                                                                                                                         ;OSPUAYE           ;RECONQUISTA 1048 PISO  2                          ;ospuaye@apuaye.org.ar
OBRA SOCIAL DEL PERSONAL DE VIGILANCIA Y SEGURIDAD COMERCIAL, INDUSTRIAL E INVESTIGACIONES PRIVADAS DE CORDOBA                                                                                          ;OSPEVIC           ;FAUSTINO ALLENDE 189 - BARRIO INDEPENDENCIA       ;ospevic@ospevic.org.ar
OBRA SOCIAL DE VENDEDORES AMBULANTES DE LA REPUBLICA ARGENTINA                                                                                                                                          ;OSVARA            ;GALLO 443                                         ;
OBRA SOCIAL DE BOXEADORES AGREMIADOS DE LA REPUBLICA ARGENTINA                                                                                                                                          ;OSBARA            ;TALCAHUANO 109 PISO 6  D                          ;
OBRA SOCIAL DE COMISARIOS NAVALES                                                                                                                                                                       ;                  ;BERNARDO DE IRIGOYEN 840                          ;
OBRA SOCIAL DE LA UNION DE TRABAJADORES DEL INSTITUTO NACIONAL DE SERVICIOS SOCIALES PARA JUBILADOS Y PENSIONADOS DE LA REPUBLICA ARGENTINA                                                             ;OSUTI             ;ESMERALDA 25                                      ;
OBRA SOCIAL DEL PERSONAL DE LA FEDERACION DE SINDICATOS DE LA INDUSTRIA QUIMICA Y PETROQUIMICA                                                                                                          ;                  ;PAVON 3708                                        ;festiqypra tesoreria@live.com.ar
